,latitude,longitude
429,1.40425,103.7563
430,1.34715,103.75641
431,1.310922,103.7571
432,1.42418,103.75715
433,1.32591,103.7572
434,1.31098,103.75721
435,1.34858,103.7573
436,1.34702,103.75751
437,1.34512,103.75773
438,1.34487,103.75798
439,1.33088,103.75851
440,1.3502,103.7595
441,1.33502,103.75977
442,1.34439,103.76061
443,1.30819,103.76084
444,1.30815,103.76089
445,1.30824,103.7611
446,1.3138,103.76123
447,1.30225,103.76142
448,1.32168,103.76155
449,1.38175,103.7616
450,1.42943,103.762
451,1.30686,103.76289
452,1.31451,103.76316
453,1.31873,103.76341
454,1.30618,103.76369
455,1.31076,103.7638
456,1.42713,103.764
457,1.32462,103.76435
458,1.38414,103.76444
459,1.37683,103.76568
460,1.318909,103.766
461,1.38697,103.76604
462,1.30094,103.76622
463,1.31883,103.76682
464,1.2944,103.76687
465,1.30461,103.76707
466,1.36336,103.76733
467,1.31449,103.76742
468,1.36326,103.7675
469,1.3144,103.76751
470,1.43128,103.76756
471,1.34582,103.76759
472,1.31197,103.7677
473,1.3453,103.7681
474,1.38897,103.7681
475,1.31655,103.7683
476,1.4311,103.7687
477,1.29539,103.76966
478,1.43178,103.7699
479,1.31596,103.76991
480,1.38416,103.77029
481,1.32065,103.77067
482,1.30148,103.77071
483,1.31997,103.77076
484,1.3118,103.7708
485,1.31479,103.77085
486,1.31145,103.77096
487,1.31766,103.77141
488,1.42798,103.7722
489,1.4434,103.77226
490,1.43631,103.77247
491,1.38204,103.77274
492,1.44421,103.77288
493,1.442344,103.7736
494,1.30257,103.7737
495,1.39371,103.77396
496,1.31735,103.77418
497,1.33992,103.7743
498,1.44224,103.7751
499,1.43067,103.77516
500,1.42887,103.7754
501,1.36517,103.77551
502,1.28928,103.77673
503,1.32988,103.77696
504,1.442428,103.7772
505,1.28909,103.77721
506,1.43767,103.77741
507,1.33108,103.77772
508,1.33247,103.77776
509,1.44199,103.7782
510,1.28831,103.77837
511,1.36514,103.77857
512,1.28879,103.77865
513,1.44131,103.779
514,1.3667,103.77933
515,1.43571,103.77935
516,1.28865,103.7794
517,1.30747,103.7795
518,1.31605,103.77976
519,1.28467,103.78026
520,1.2918,103.7804
521,1.30167,103.78045
522,1.30454,103.78126
523,1.29168,103.78272
524,1.28968,103.78282
525,1.30705,103.78298
526,1.28613,103.7832
527,1.28906,103.7834
528,1.29204,103.78349
529,1.29361,103.78402
530,1.40719,103.78408
531,1.29385,103.7841
532,1.29482,103.78415
533,1.29429,103.78432
534,1.29471,103.78441
535,1.30461,103.78453
536,1.29141,103.78484
537,1.433,103.78484
538,1.2999,103.78488
539,1.2901,103.78504
540,1.30736,103.7852
541,1.31823,103.78546
542,1.309816,103.7855
543,1.28712,103.78553
544,1.29926,103.78564
545,1.29514,103.78578
546,1.33039,103.78586
547,1.29069,103.78635
548,1.30329,103.78723
549,1.30336,103.78726
550,1.30667,103.78735
551,1.30335,103.78781
552,1.29082,103.78815
